title,author,Rating,complete_link
Machine Learning Bookcamp: Build a portfolio of real-life projects,Alexey Grigorev,1,https://www.amazon.com/Machine-Learning-Bookcamp-portfolio-real-life/dp/1617296813/ref=sr_1_252?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-252
Fundamentals of Data Science Part I: Inference and Experiment,Jared M Maruskin,1,https://www.amazon.com/Fundamentals-Data-Science-Part-Experiment/dp/1941043119/ref=sr_1_207?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-207
Data-Driven Evolutionary Optimization: Integrating Evolutionary Computation Machine Learning and Data Science (Studies in Computational Intelligence 975),,1,https://www.amazon.com/Data-Driven-Evolutionary-Optimization-Computational-Intelligence/dp/3030746399/ref=sr_1_204?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-204
Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,"Dan Meador,Kevin Goldsmith",1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A03218092HN8S0ECTJTVX&url=%2FBuilding-Data-Science-Solutions-Anaconda%2Fdp%2F1800568789%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-210-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition),Rajdeep Dua,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A04058533TB8PU0UGVTTX&url=%2FMastering-TensorFlow-2-x-Structured-Unstructured%2Fdp%2F9391392229%2Fref%3Dsr_1_196_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-196-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_atf_next
Game Data Science,"Magy Seif El-Nasr,Truong-Huy D. Nguyen et al.",1,https://www.amazon.com/Game-Data-Science-Magy-El-Nasr/dp/019289787X/ref=sr_1_159?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-159
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"Oz du Soleil,Bill Jelen",1,https://www.amazon.com/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_12?keywords=data+analysis&qid=1663454597&sr=8-12
Topological Data Analysis with Applications,"Gunnar Carlsson,Mikael Vejdemo-Johansson",1,https://www.amazon.com/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_39?keywords=data+analysis&qid=1663454597&sr=8-39
Social Statistics: Managing Data Conducting Analyses Presenting Results (Sociology Re-Wired),Thomas J. Linneman,1,https://www.amazon.com/Social-Statistics-Conducting-Presenting-Sociology/dp/1032115289/ref=sr_1_140?keywords=data+analysis&qid=1663454623&sr=8-140
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,1,https://www.amazon.com/Applying-Quantitative-Bias-Analysis-to-Epidemiologic-Data-_Statistics-for-Biology-and-Health_/dp/3030826724/ref=sr_1_122?keywords=data+analysis&qid=1663454623&sr=8-122
Problem Solving and Data Analysis: Sat Math Practice Test,Educational Testing Group,1,https://www.amazon.com/Problem-Solving-Data-Analysis-Practice/dp/171779369X/ref=sr_1_172?keywords=data+analysis&qid=1663454642&sr=8-172
Spatial Data Analysis: Models Methods and Techniques (SpringerBriefs in Regional Science),,1,https://www.amazon.com/Spatial-Data-Analysis-Techniques-SpringerBriefs/dp/3642217192/ref=sr_1_193?keywords=data+analysis&qid=1663454642&sr=8-193
Introduction to Data Analytics for Accounting (International edition) Textbook only,Ryan A. Teeter Vernon Richardson Katie L. Terrell,1,https://www.amazon.com/Introduction-Analytics-Accounting-International-Textbook/dp/1260590836/ref=sr_1_246?keywords=data+analysis&qid=1663454656&sr=8-246
Adverse Impact Analysis: Understanding Data Statistics and Risk,"Scott B. Morris,Eric M. Dunleavy",1,https://www.amazon.com/Adverse-Impact-Analysis-Understanding-Statistics/dp/1138855855/ref=sr_1_244?keywords=data+analysis&qid=1663454656&sr=8-244
In-Memory Analytics with Apache Arrow: Perform fast and efficient data analytics on both flat and hierarchical structured data,"Matthew Topol,Wes McKinney",1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A09728803RJKZK3BT8KO2&url=%2FMemory-Analytics-Apache-Arrow-hierarchical%2Fdp%2F1801071039%2Fref%3Dsr_1_225_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-225-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
Numerical Methods Using Java: For Data Science Analysis and Engineering,Haksun Li PhD,1,https://www.amazon.com/Numerical-Methods-Using-Java-Engineering/dp/1484267966/ref=sr_1_220?keywords=data+analysis&qid=1663454656&sr=8-220
DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,Benjamin Smith,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01283821OUMQMARYV9MZ&url=%2FDATA-ANALYTICS-Effective-Analytics-Effectively%2Fdp%2FB08GLWB38K%2Fref%3Dsr_1_212_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-212-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
The Data Revolution: A Critical Analysis of Big Data Open Data and Data Infrastructures,Rob Kitchin,1,https://www.amazon.com/Data-Revolution-Critical-Analysis-Infrastructures/dp/1529733758/ref=sr_1_157?keywords=data+analysis&qid=1663454642&sr=8-157
Inside Deep Learning: Math Algorithms Models,Edward Raff,1,https://www.amazon.com/Inside-Deep-Learning-Algorithms-Models/dp/1617298638/ref=sr_1_12?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-12
Deep Generative Modeling,Jakub M. Tomczak,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfbXRmOjIwMDA1NzQyMTY0MjI5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeep-Generative-Modeling-Jakub-Tomczak%2Fdp%2F3030931579%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-34-spons%26psc%3D1
Deep Neural Evolution: Deep Learning with Evolutionary Computation (Natural Computing Series),,1,https://www.amazon.com/Deep-Neural-Evolution-Evolutionary-Computation/dp/9811536872/ref=sr_1_103?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460473&sprefix=deep+learnin%2Caps%2C449&sr=8-103
Modern Deep Learning Design and Application Development: Versatile Tools to Solve Deep Learning Problems,Andre Ye,1,https://www.amazon.com/Modern-Learning-Design-Application-Development/dp/1484274121/ref=sr_1_147?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460492&sprefix=deep+learnin%2Caps%2C449&sr=8-147
Machine Learning at Scale with H2O: A practical guide to building and deploying machine learning models on enterprise systems,"Gregory Keys,David Whiting",1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDA5MTIwMzE4NDkyNDgxOjE2NjM0NjA0OTI6c3BfbXRmOjIwMDA3Nzc5ODg1NzA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMachine-Learning-Scale-H2O-enterprise%2Fdp%2F1800566018%2Fref%3Dsr_1_130_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460492%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-130-spons%26psc%3D1
Deep Learning Applications of Short-range Radars,"Avik Santra,Souvik Hazra",1,https://www.amazon.com/Deep-Learning-Applications-Short-range-Radars/dp/1630817465/ref=sr_1_194?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-194
Deep Discourse: A Framework for Cultivating Student-Led Discussions -Use Conversation to Raise Student Learning Motivation and Engagement in K-12 Classrooms,"Sandi Novak,Cara Slattery",1,https://www.amazon.com/Deep-Discourse-Cultivating-Student-Led-Conversation/dp/1943874026/ref=sr_1_185?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-185
Embedded Deep Learning: Algorithms Architectures and Circuits for Always-on Neural Network Processing,"Bert Moons,Daniel Bankman et al.",1,https://www.amazon.com/Embedded-Deep-Learning-Architectures-Always/dp/303007577X/ref=sr_1_251?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-251
Deep Learning for Physical Scientists: Accelerating Research with Machine Learning,"Edward O. Pyzer-Knapp,Matthew Benatan",1,https://www.amazon.com/Deep-Learning-Physical-Scientists-Accelerating/dp/1119408334/ref=sr_1_251?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-251
Autonomous Robotics and Deep Learning (SpringerBriefs in Computer Science),,1,https://www.amazon.com/Autonomous-Robotics-Learning-SpringerBriefs-Computer/dp/3319056026/ref=sr_1_215?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-215
Deep Learning for the Earth Sciences: A Comprehensive Approach to Remote Sensing Climate Science and Geosciences,"Gustau Camps-Valls,Devis Tuia et al.",1,https://www.amazon.com/Deep-Learning-Earth-Sciences-Comprehensive/dp/1119646146/ref=sr_1_150?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-150
Deep Learning in a Disorienting World,Jon F. Wergin,1,https://www.amazon.com/Deep-Learning-Disorienting-World-Wergin/dp/1108727158/ref=sr_1_119?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460492&sprefix=deep+learnin%2Caps%2C449&sr=8-119
Essentials of Deep Learning and AI: Experience Unsupervised Learning Autoencoders Feature Engineering and Time Series Analysis with TensorFlow Keras and scikit-learn (English Edition),"Shashidhar Soppin,Dr. Manjunath Ramachandra et al.",1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfbXRmOjIwMDAzNTA2NTg4NzA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FEssentials-Deep-Learning-Unsupervised-Autoencoders%2Fdp%2F9391030351%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-20-spons%26psc%3D1
Feature Store for Machine Learning: Curate discover share and serve ML features at scale,Jayanth Kumar M J,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA2NTU3ODcyMzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FFeature-Store-Machine-Learning-discover%2Fdp%2F1803230061%2Fref%3Dsr_1_4_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-4-spons%26psc%3D1
Applied Machine Learning Explainability Techniques: Make ML models explainable and trustworthy for practical applications using LIME SHAP and more,Aditya Bhattacharya,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA3NzczNjQ3Mjg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FApplied-Machine-Learning-Explainability-Techniques%2Fdp%2F1803246154%2Fref%3Dsr_1_3_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-3-spons%26psc%3D1
Machine Learning for Streaming Data with Python: Rapidly build practical online machine learning solutions using River and other top key frameworks,Joos Korstanje,1,https://www.amazon.com/Machine-Learning-Streaming-Data-Python/dp/180324836X/ref=sr_1_102?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-102
Machine Learning Engineering in Action,Ben Wilson,1,https://www.amazon.com/Machine-Learning-Engineering-Action-Wilson/dp/1617298719/ref=sr_1_97?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-97
Introduction to Statistical and Machine Learning Methods for Data Science,"Dr. Carlos Andre Reis Andre Reis Pinheiro,Mike Patetta",1,https://www.amazon.com/Introduction-Statistical-Machine-Learning-Methods/dp/1953329608/ref=sr_1_93?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-93
Machine Learning Guide for Oil and Gas Using Python: A Step--Step Breakdown with Data Algorithms Codes and Applications,"Hoss Belyadi,Alireza Haghighat",1,https://www.amazon.com/Machine-Learning-Guide-Using-Python/dp/0128219297/ref=sr_1_141?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-141
Automated Machine Learning for Business,"Kai R. Larsen,Daniel S. Becker",1,https://www.amazon.com/Automated-Machine-Learning-Business-Larsen/dp/0190941669/ref=sr_1_142?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-142
Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure 2nd Edition,"Christoph Korner,Marcel Alsdorf",1,https://www.amazon.com/Mastering-Azure-Machine-Learning-end/dp/1803232412/ref=sr_1_134?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-134
Data Cleaning and Exploration with Machine Learning: Get to grips with machine learning techniques to achieve sparkling-clean data quickly,Michael Walker,1,https://www.amazon.com/Data-Cleaning-Exploration-Machine-Learning/dp/1803241675/ref=sr_1_194?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465028&sprefix=deep+learning%2Caps%2C627&sr=8-194
Text Data Mining,"Chengqing Zong,Rui Xia et al.",1,https://www.amazon.com/Text-Data-Mining-Chengqing-Zong/dp/9811600996/ref=sr_1_300?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465052&sprefix=deep+learning%2Caps%2C627&sr=8-300
A Primer on Machine Learning in Subsurface Geosciences (SpringerBriefs in Petroleum Geoscience & Engineering),,1,https://www.amazon.com/Subsurface-Geosciences-SpringerBriefs-Geoscience-Engineering/dp/3030717674/ref=sr_1_224?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465040&sprefix=deep+learning%2Caps%2C627&sr=8-224
Data Algorithms with Spark: Recipes and Design Patterns for Scaling Up using PySpark,Mahmoud Parsian,1,https://www.amazon.com/Data-Algorithms-Spark-Recipes-Patterns/dp/1492082384/ref=sr_1_156?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465028&sprefix=deep+learning%2Caps%2C627&sr=8-156
Practical Simulations for Machine Learning: Using Synthetic Data for AI,"Paris Buttfield-Addison,Mars Buttfield-Addison et al.",1,https://www.amazon.com/Practical-Simulations-Machine-Learning-Synthetic/dp/1492089923/ref=sr_1_55?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-55
Machine Learning: A First Course for Engineers and Scientists,"Andreas Lindholm,Niklas Wahlström et al.",1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfbXRmOjIwMDA3MzYzMzQ5MDM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMachine-Learning-Course-Engineers-Scientists%2Fdp%2F1108843603%2Fref%3Dsr_1_17_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-17-spons%26psc%3D1
Mathematical Logic through Python,Gonczarowski Yannai A.,1,https://www.amazon.com/Mathematical-through-Python-Yannai-Gonczarowski/dp/1108949479/ref=sr_1_52?keywords=python&qid=1663459261&sr=8-52
Django 4 Example: Build powerful and reliable Python web applications from scratch 4th Edition,"Antonio Mele,Bob Belderbos",1,https://www.amazon.com/Django-Example-powerful-reliable-applications/dp/1801813051/ref=sr_1_105?keywords=python&qid=1663459274&sr=8-105
Computational Cell Physiology: With Examples In Python,Stephen M Baylor,1,https://www.amazon.com/Computational-Cell-Physiology-Examples-Python/dp/1661705146/ref=sr_1_87?keywords=python&qid=1663459274&sr=8-87
El lenguaje de programaciÃƒÂ³n Python de principio a fin (Spanish Edition),Angel Pablo Hinojosa Gutiérrez,1,https://www.amazon.com/lenguaje-programaci%C3%B3n-Python-principio-Spanish/dp/B0B5Q283BL/ref=sr_1_150?keywords=python&qid=1663459285&sr=8-150
Python Programming and Visualization for Scientists,"Alex Decaria,Grant W Petty et al.",1,https://www.amazon.com/Python-Programming-Visualization-Scientists-Decaria/dp/0972903356/ref=sr_1_249?keywords=python&qid=1663459313&sr=8-249
Mastering Python for Bioinformatics: How to Write Flexible Documented Tested Python Code for Research Computing,Ken Youens-Clark,1,https://www.amazon.com/Mastering-Python-Bioinformatics-Documented-Computing/dp/1098100883/ref=sr_1_248?keywords=python&qid=1663459313&sr=8-248
Intuitive Python: Productive Development for Projects that Last,David Muller,1,https://www.amazon.com/Intuitive-Python-Productive-Development-Projects/dp/1680508237/ref=sr_1_234?keywords=python&qid=1663459313&sr=8-234
Using Python for Principles of Econometrics,Constantin Colonescu,1,https://www.amazon.com/Python-Principles-Econometrics-Constantin-Colonescu/dp/B09NGXSYKD/ref=sr_1_292?keywords=python&qid=1663459326&sr=8-292
Hyperparameter Tuning with Python: Boost your machine learning models performance via hyperparameter tuning,Louis Owen,1,https://www.amazon.com/Hyperparameter-Tuning-Python-performance-hyperparameter/dp/180323587X/ref=sr_1_278?keywords=python&qid=1663459326&sr=8-278
The Pythonic Way: An ArchitectÃ¢â‚¬â„¢s Guide to Conventions and Best Practices for the Design Development Testing and Management of Enterprise Python Code (English Edition),Sonal Raj,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A0969065UFVJ0BRWCPS0&url=%2FPythonic-Way-Architects-Conventions-Development%2Fdp%2F9391030122%2Fref%3Dsr_1_276_sspa%3Fkeywords%3Dpython%26qid%3D1663459326%26sr%3D8-276-spons%26psc%3D1&qualifier=1663459326&id=6192604472233120&widgetName=sp_mtf
Programming ArcGIS Pro with Python (2nd Edition),Eric Pimpler,1,https://www.amazon.com/Programming-ArcGIS-Pro-Python-2nd/dp/B092XJP26H/ref=sr_1_256?keywords=python&qid=1663459326&sr=8-256
Foundations of Statistics for Data Scientists: With R and Python (Chapman & Hall/CRC Texts in Statistical Science),,1,https://www.amazon.com/Foundations-Statistics-Data-Scientists-Statistical/dp/0367748452/ref=sr_1_250?keywords=python&qid=1663459326&sr=8-250
Hands-On Data Preprocessing in Python: Learn how to effectively prepare data for successful data analytics,Roy Jafari,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A03190142Z9SWWU2462BM&url=%2FHands-Data-Preprocessing-Python-effectively%2Fdp%2F1801072132%2Fref%3Dsr_1_163_sspa%3Fkeywords%3Dpython%26qid%3D1663459301%26sr%3D8-163-spons%26psc%3D1&qualifier=1663459301&id=4885880324769557&widgetName=sp_mtf
The Recursive Book of Recursion: Ace the Coding Interview with Python and JavaScript,Al Sweigart,1,https://www.amazon.com/Recursive-Book-Recursion-Interview-Javascript/dp/1718502028/ref=sr_1_79?keywords=python&qid=1663459274&sr=8-79
Painless Statistics (Barrons Painless),Patrick Honner,1,https://www.amazon.com/Painless-Statistics-Barrons-Patrick-Honner/dp/1506281583/ref=sr_1_30?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-30
Statistics Made Simple for School Leaders: A New Approach for Using Student Staff and Community Data 3rd Edition,"Susan Rovezzi Carroll,David J. Carroll",1,https://www.amazon.com/Statistics-Made-Simple-School-Leaders/dp/1475863217/ref=sr_1_125?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-125
